anon_id,arm,model,query_id,query_type,hop_count,source_file
A0030,Standard RAG,llama3.1:8b,Q68,2-hop_setting_category,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0031,SSG,qwen2.5:7b,Q16,2-hop_author_category,2,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0032,Standard RAG,llama3.1:8b,Q33,1-hop_author,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0033,Act-only,llama3.1:8b,Q43,1-hop_category,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0034,Pure ReAct,llama3.1:8b,Q94,collaborative_shared_ddc,3,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0035,Standard RAG,qwen2.5:7b,Q08,1-hop_publisher_city,1,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0036,SSG,llama3.1:8b,Q73,2-hop_author_setting,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0037,Planned,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0038,Act-only,llama3.1:8b,Q95,runtime_similarity,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0039,CoT-RAG,llama3.1:8b,Q40,1-hop_setting,1,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0040,SSG,llama3.1:8b,Q13,2-hop_setting_category,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0041,Planned,qwen2.5:7b,Q13,2-hop_setting_category,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0042,Pure ReAct,llama3.1:8b,Q33,1-hop_author,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0043,Planned,qwen2.5:7b,Q65,2-hop_vibe_category,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0044,Planned,llama3.1:8b,Q09,2-hop_vibe_setting,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0045,CoT-RAG,qwen2.5:7b,Q77,2-hop_author_category,2,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0046,SSG,qwen2.5:7b,Q02,1-hop_vibe,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0047,SSG,llama3.1:8b,Q38,1-hop_vibe,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0048,SSG,qwen2.5:7b,Q36,1-hop_vibe,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0049,Act-only,llama3.1:8b,Q44,1-hop_category,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0050,SSG,llama3.1:8b,Q44,1-hop_category,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0051,Planned,llama3.1:8b,Q45,1-hop_category,1,eval_results_planned_llama31_reeval20260726_noaudit.json
A0052,Pure ReAct,llama3.1:8b,Q42,1-hop_setting,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0053,Pure ReAct,llama3.1:8b,Q73,2-hop_author_setting,2,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0054,CoT-RAG,llama3.1:8b,Q62,2-hop_vibe_setting,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0055,Act-only,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0056,CoT-RAG,llama3.1:8b,Q01,1-hop_author,1,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0057,Pure ReAct,qwen2.5:7b,Q16,2-hop_author_category,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0058,Standard RAG,qwen2.5:7b,Q22,collaborative_shared_vibe,3,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0059,Standard RAG,llama3.1:8b,Q73,2-hop_author_setting,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0060,Pure ReAct,qwen2.5:7b,Q99,branch_filter_vibe,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0061,Pure ReAct,llama3.1:8b,Q54,1-hop_character,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0062,Pure ReAct,qwen2.5:7b,Q84,2-hop_collectiontype_category,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0063,Planned,llama3.1:8b,Q50,1-hop_ddc,1,eval_results_planned_llama31_reeval20260726_noaudit.json
A0064,Act-only,qwen2.5:7b,Q55,1-hop_character,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0065,SSG,qwen2.5:7b,Q90,collaborative_shared_vibe,3,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0066,Standard RAG,llama3.1:8b,Q88,3-hop_vibe_setting_category,3,eval_results_standard_llama31_reeval20260726_noaudit.json
A0067,Planned,llama3.1:8b,Q60,2-hop_vibe_setting,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0068,Standard RAG,llama3.1:8b,Q57,1-hop_publisher_city,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0069,Standard RAG,llama3.1:8b,Q13,2-hop_setting_category,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0070,CoT-RAG,qwen2.5:7b,Q33,1-hop_author,1,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0071,SSG,qwen2.5:7b,Q28,branch_filter_vibe,2,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0072,Pure ReAct,qwen2.5:7b,Q58,1-hop_publisher_city,1,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0073,Standard RAG,llama3.1:8b,Q05,1-hop_ddc,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0074,Act-only,qwen2.5:7b,Q72,2-hop_author_vibe,2,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0075,Planned,llama3.1:8b,Q03,1-hop_setting,1,eval_results_planned_llama31_reeval20260726_noaudit.json
A0076,CoT-RAG,llama3.1:8b,Q13,2-hop_setting_category,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0077,CoT-RAG,llama3.1:8b,Q77,2-hop_author_category,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0078,SSG,qwen2.5:7b,Q97,runtime_similarity,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0079,Planned,qwen2.5:7b,Q35,1-hop_vibe,1,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0080,Planned,llama3.1:8b,Q32,1-hop_author,1,eval_results_planned_llama31_reeval20260726_noaudit.json
A0081,Act-only,llama3.1:8b,Q84,2-hop_collectiontype_category,2,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0082,Standard RAG,qwen2.5:7b,Q68,2-hop_setting_category,2,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0083,Act-only,qwen2.5:7b,Q87,3-hop_vibe_setting_category,3,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0084,Act-only,qwen2.5:7b,Q89,collaborative_shared_vibe,3,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0085,Pure ReAct,llama3.1:8b,Q18,2-hop_collectiontype_category,2,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0086,CoT-RAG,llama3.1:8b,Q78,2-hop_author_category,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0087,Planned,qwen2.5:7b,Q07,1-hop_character,1,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0088,SSG,llama3.1:8b,Q45,1-hop_category,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0089,Pure ReAct,qwen2.5:7b,Q52,1-hop_language,1,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0090,SSG,llama3.1:8b,Q53,1-hop_character,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0091,CoT-RAG,qwen2.5:7b,Q72,2-hop_author_vibe,2,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0092,Act-only,llama3.1:8b,Q64,2-hop_vibe_category,2,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0093,SSG,llama3.1:8b,Q35,1-hop_vibe,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0094,Pure ReAct,llama3.1:8b,Q05,1-hop_ddc,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0095,CoT-RAG,llama3.1:8b,Q99,branch_filter_vibe,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0096,Standard RAG,qwen2.5:7b,Q40,1-hop_setting,1,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0097,Pure ReAct,qwen2.5:7b,Q30,branch_filter_vibe,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0098,SSG,qwen2.5:7b,Q03,1-hop_setting,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0099,Pure ReAct,qwen2.5:7b,Q27,runtime_similarity,1,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0100,Planned,llama3.1:8b,Q79,2-hop_ddc_branch,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0101,SSG,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0102,Act-only,llama3.1:8b,Q28,branch_filter_vibe,2,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0103,CoT-RAG,qwen2.5:7b,Q50,1-hop_ddc,1,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0104,Act-only,llama3.1:8b,Q05,1-hop_ddc,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0105,SSG,qwen2.5:7b,Q42,1-hop_setting,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0106,Standard RAG,llama3.1:8b,Q35,1-hop_vibe,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0107,Pure ReAct,llama3.1:8b,Q55,1-hop_character,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0108,SSG,qwen2.5:7b,Q62,2-hop_vibe_setting,2,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0109,Act-only,qwen2.5:7b,Q48,1-hop_ddc,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0110,Act-only,qwen2.5:7b,Q23,collaborative_shared_vibe,3,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0111,Pure ReAct,llama3.1:8b,Q38,1-hop_vibe,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0112,Planned,qwen2.5:7b,Q63,2-hop_vibe_category,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0113,Pure ReAct,llama3.1:8b,Q63,2-hop_vibe_category,2,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0114,Pure ReAct,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0115,SSG,llama3.1:8b,Q09,2-hop_vibe_setting,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0116,CoT-RAG,llama3.1:8b,Q100,branch_filter_author,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0117,Standard RAG,llama3.1:8b,Q18,2-hop_collectiontype_category,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0118,Act-only,qwen2.5:7b,Q35,1-hop_vibe,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0119,Pure ReAct,llama3.1:8b,Q48,1-hop_ddc,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0120,SSG,llama3.1:8b,Q97,runtime_similarity,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0121,CoT-RAG,llama3.1:8b,Q57,1-hop_publisher_city,1,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0122,Standard RAG,qwen2.5:7b,Q18,2-hop_collectiontype_category,2,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0123,Pure ReAct,qwen2.5:7b,Q39,1-hop_setting,1,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0124,Standard RAG,llama3.1:8b,Q50,1-hop_ddc,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0125,SSG,llama3.1:8b,Q92,collaborative_shared_ddc,3,eval_results_agentic_llama_reeval20260726_noaudit.json
A0126,Pure ReAct,qwen2.5:7b,Q74,2-hop_author_setting,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0127,CoT-RAG,llama3.1:8b,Q87,3-hop_vibe_setting_category,3,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0128,SSG,qwen2.5:7b,Q17,2-hop_ddc_branch,2,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0129,Planned,qwen2.5:7b,Q45,1-hop_category,1,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0130,Act-only,llama3.1:8b,Q96,runtime_similarity,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0131,CoT-RAG,llama3.1:8b,Q83,2-hop_collectiontype_category,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0132,Planned,llama3.1:8b,Q86,3-hop_vibe_setting_category,3,eval_results_planned_llama31_reeval20260726_noaudit.json
A0133,Planned,llama3.1:8b,Q85,3-hop_vibe_setting_category,3,eval_results_planned_llama31_reeval20260726_noaudit.json
A0134,SSG,llama3.1:8b,Q62,2-hop_vibe_setting,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0135,Standard RAG,qwen2.5:7b,Q61,2-hop_vibe_setting,2,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0136,Pure ReAct,qwen2.5:7b,Q18,2-hop_collectiontype_category,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0137,CoT-RAG,qwen2.5:7b,Q84,2-hop_collectiontype_category,2,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0138,Act-only,llama3.1:8b,Q02,1-hop_vibe,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0139,CoT-RAG,qwen2.5:7b,Q15,2-hop_author_setting,2,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0140,Standard RAG,llama3.1:8b,Q58,1-hop_publisher_city,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0141,SSG,llama3.1:8b,Q02,1-hop_vibe,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0142,CoT-RAG,llama3.1:8b,Q47,1-hop_ddc,1,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0143,Planned,qwen2.5:7b,Q54,1-hop_character,1,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0144,SSG,llama3.1:8b,Q06,1-hop_language,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0145,SSG,qwen2.5:7b,Q27,runtime_similarity,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0146,Planned,llama3.1:8b,Q81,2-hop_ddc_branch,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0147,Pure ReAct,qwen2.5:7b,Q77,2-hop_author_category,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0148,CoT-RAG,qwen2.5:7b,Q49,1-hop_ddc,1,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0149,CoT-RAG,qwen2.5:7b,Q80,2-hop_ddc_branch,2,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0150,SSG,llama3.1:8b,Q16,2-hop_author_category,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0151,CoT-RAG,qwen2.5:7b,Q70,2-hop_author_vibe,2,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0152,Pure ReAct,qwen2.5:7b,Q95,runtime_similarity,1,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0153,Pure ReAct,llama3.1:8b,Q06,1-hop_language,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0154,Act-only,qwen2.5:7b,Q25,runtime_similarity,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0155,Planned,llama3.1:8b,Q64,2-hop_vibe_category,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0156,Act-only,qwen2.5:7b,Q61,2-hop_vibe_setting,2,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0157,CoT-RAG,qwen2.5:7b,Q21,3-hop_vibe_setting_category,3,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0158,Standard RAG,qwen2.5:7b,Q65,2-hop_vibe_category,2,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0159,Pure ReAct,llama3.1:8b,Q98,branch_filter_vibe,2,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0160,Act-only,llama3.1:8b,Q88,3-hop_vibe_setting_category,3,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0161,Pure ReAct,llama3.1:8b,Q56,1-hop_publisher_city,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0162,Standard RAG,llama3.1:8b,Q93,collaborative_shared_ddc,3,eval_results_standard_llama31_reeval20260726_noaudit.json
A0163,Act-only,llama3.1:8b,Q80,2-hop_ddc_branch,2,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0164,Standard RAG,llama3.1:8b,Q49,1-hop_ddc,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0165,Pure ReAct,llama3.1:8b,Q03,1-hop_setting,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0166,Pure ReAct,llama3.1:8b,Q52,1-hop_language,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0167,SSG,qwen2.5:7b,Q45,1-hop_category,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0168,CoT-RAG,qwen2.5:7b,Q91,collaborative_shared_vibe,3,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0169,Pure ReAct,llama3.1:8b,Q69,2-hop_setting_category,2,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0170,Act-only,qwen2.5:7b,Q03,1-hop_setting,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0171,CoT-RAG,qwen2.5:7b,Q81,2-hop_ddc_branch,2,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0172,Planned,llama3.1:8b,Q17,2-hop_ddc_branch,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0173,SSG,llama3.1:8b,Q90,collaborative_shared_vibe,3,eval_results_agentic_llama_reeval20260726_noaudit.json
A0174,Pure ReAct,qwen2.5:7b,Q67,2-hop_setting_category,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0175,SSG,qwen2.5:7b,Q85,3-hop_vibe_setting_category,3,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0176,Standard RAG,llama3.1:8b,Q23,collaborative_shared_vibe,3,eval_results_standard_llama31_reeval20260726_noaudit.json
A0177,Act-only,qwen2.5:7b,Q32,1-hop_author,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0178,Pure ReAct,qwen2.5:7b,Q93,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0179,Act-only,qwen2.5:7b,Q88,3-hop_vibe_setting_category,3,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0180,Planned,qwen2.5:7b,Q80,2-hop_ddc_branch,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0181,Act-only,qwen2.5:7b,Q04,1-hop_category,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0182,Pure ReAct,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0183,CoT-RAG,llama3.1:8b,Q32,1-hop_author,1,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0184,Planned,qwen2.5:7b,Q96,runtime_similarity,1,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0185,Pure ReAct,qwen2.5:7b,Q71,2-hop_author_vibe,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0186,Standard RAG,llama3.1:8b,Q85,3-hop_vibe_setting_category,3,eval_results_standard_llama31_reeval20260726_noaudit.json
A0187,Pure ReAct,qwen2.5:7b,Q94,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0188,SSG,qwen2.5:7b,Q60,2-hop_vibe_setting,2,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0189,Standard RAG,qwen2.5:7b,Q72,2-hop_author_vibe,2,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0190,SSG,llama3.1:8b,Q46,1-hop_category,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0191,Act-only,qwen2.5:7b,Q58,1-hop_publisher_city,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0192,Standard RAG,qwen2.5:7b,Q05,1-hop_ddc,1,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0193,Standard RAG,llama3.1:8b,Q90,collaborative_shared_vibe,3,eval_results_standard_llama31_reeval20260726_noaudit.json
A0194,Act-only,qwen2.5:7b,Q16,2-hop_author_category,2,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0195,CoT-RAG,llama3.1:8b,Q21,3-hop_vibe_setting_category,3,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0196,SSG,llama3.1:8b,Q61,2-hop_vibe_setting,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0197,Pure ReAct,llama3.1:8b,Q04,1-hop_category,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0198,Planned,qwen2.5:7b,Q09,2-hop_vibe_setting,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0199,CoT-RAG,llama3.1:8b,Q70,2-hop_author_vibe,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0200,Standard RAG,llama3.1:8b,Q47,1-hop_ddc,1,eval_results_standard_llama31_reeval20260726_noaudit.json
A0201,Pure ReAct,llama3.1:8b,Q95,runtime_similarity,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0202,Planned,llama3.1:8b,Q89,collaborative_shared_vibe,3,eval_results_planned_llama31_reeval20260726_noaudit.json
A0203,Act-only,qwen2.5:7b,Q45,1-hop_category,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0204,SSG,qwen2.5:7b,Q48,1-hop_ddc,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0205,Planned,llama3.1:8b,Q29,branch_filter_author,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0206,Pure ReAct,qwen2.5:7b,Q68,2-hop_setting_category,2,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0207,Standard RAG,qwen2.5:7b,Q94,collaborative_shared_ddc,3,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0208,Planned,qwen2.5:7b,Q71,2-hop_author_vibe,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0209,SSG,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0210,SSG,llama3.1:8b,Q84,2-hop_collectiontype_category,2,eval_results_agentic_llama_reeval20260726_noaudit.json
A0211,Standard RAG,llama3.1:8b,Q69,2-hop_setting_category,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0212,CoT-RAG,llama3.1:8b,Q11,2-hop_vibe_category,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0213,Pure ReAct,llama3.1:8b,Q58,1-hop_publisher_city,1,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0214,Standard RAG,qwen2.5:7b,Q96,runtime_similarity,1,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0215,SSG,qwen2.5:7b,Q31,1-hop_author,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0216,Planned,qwen2.5:7b,Q29,branch_filter_author,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0217,Act-only,qwen2.5:7b,Q37,1-hop_vibe,1,eval_results_act_only_qwen25_reeval20260726_noaudit.json
A0218,CoT-RAG,llama3.1:8b,Q15,2-hop_author_setting,2,eval_results_cot_rag_llama31_reeval20260726_noaudit.json
A0219,Act-only,llama3.1:8b,Q07,1-hop_character,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0220,Planned,qwen2.5:7b,Q15,2-hop_author_setting,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0221,Planned,qwen2.5:7b,Q75,2-hop_author_setting,2,eval_results_planned_qwen25_reeval20260726_noaudit.json
