anon_id,arm,model,query_id,query_type,hop_count,source_file
A0019,Pure ReAct,qwen2.5:7b,Q37,1-hop_vibe,1,eval_results_pure_react_qwen25_20260706_050120.json
A0020,Standard RAG,qwen2.5:7b,Q58,1-hop_publisher_city,1,eval_results_standard_20260706_112205.json
A0021,Planned,llama3.1:8b,Q15,2-hop_author_setting,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0022,Standard RAG,llama3.1:8b,Q12,2-hop_vibe_category,2,eval_results_standard_20260706_081128.json
A0023,Pure ReAct,qwen2.5:7b,Q40,1-hop_setting,1,eval_results_pure_react_qwen25_20260706_050120.json
A0024,CoT-RAG,qwen2.5:7b,Q38,1-hop_vibe,1,eval_results_cot_rag_qwen25_20260706_050120.json
A0025,CoT-RAG,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_cot_rag_qwen25_20260706_050120.json
A0026,Planned,qwen2.5:7b,Q87,3-hop_vibe_setting_category,3,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0027,Pure ReAct,llama3.1:8b,Q71,2-hop_author_vibe,2,eval_results_pure_react_llama31_20260706_015432.json
A0028,Vector-Gated v2,qwen2.5:7b,Q21,3-hop_vibe_setting_category,3,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0029,Planned,llama3.1:8b,Q55,1-hop_character,1,eval_results_planned_llama31_20260707_154549_noaudit.json
A0030,Standard RAG,llama3.1:8b,Q68,2-hop_setting_category,2,eval_results_standard_20260706_081128.json
A0031,Vector-Gated v2,qwen2.5:7b,Q16,2-hop_author_category,2,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0032,Standard RAG,llama3.1:8b,Q33,1-hop_author,1,eval_results_standard_20260706_081128.json
A0033,Act-only,llama3.1:8b,Q43,1-hop_category,1,eval_results_act_only_llama31_20260706_015432.json
A0034,Pure ReAct,llama3.1:8b,Q94,collaborative_shared_ddc,3,eval_results_pure_react_llama31_20260706_015432.json
A0035,Standard RAG,qwen2.5:7b,Q08,1-hop_publisher_city,1,eval_results_standard_20260706_112205.json
A0036,Vector-Gated v2,llama3.1:8b,Q73,2-hop_author_setting,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0037,Planned,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0038,Act-only,llama3.1:8b,Q95,runtime_similarity,1,eval_results_act_only_llama31_20260706_015432.json
A0039,CoT-RAG,llama3.1:8b,Q40,1-hop_setting,1,eval_results_cot_rag_llama31_20260706_015432.json
A0040,Vector-Gated v2,llama3.1:8b,Q13,2-hop_setting_category,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0041,Planned,qwen2.5:7b,Q13,2-hop_setting_category,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0042,Pure ReAct,llama3.1:8b,Q33,1-hop_author,1,eval_results_pure_react_llama31_20260706_015432.json
A0043,Planned,qwen2.5:7b,Q65,2-hop_vibe_category,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0044,Planned,llama3.1:8b,Q09,2-hop_vibe_setting,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0045,CoT-RAG,qwen2.5:7b,Q77,2-hop_author_category,2,eval_results_cot_rag_qwen25_20260706_050120.json
A0046,Vector-Gated v2,qwen2.5:7b,Q02,1-hop_vibe,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0047,Vector-Gated v2,llama3.1:8b,Q38,1-hop_vibe,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0048,Vector-Gated v2,qwen2.5:7b,Q36,1-hop_vibe,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0049,Act-only,llama3.1:8b,Q44,1-hop_category,1,eval_results_act_only_llama31_20260706_015432.json
A0050,Vector-Gated v2,llama3.1:8b,Q44,1-hop_category,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0051,Planned,llama3.1:8b,Q45,1-hop_category,1,eval_results_planned_llama31_20260707_154549_noaudit.json
A0052,Pure ReAct,llama3.1:8b,Q42,1-hop_setting,1,eval_results_pure_react_llama31_20260706_015432.json
A0053,Pure ReAct,llama3.1:8b,Q73,2-hop_author_setting,2,eval_results_pure_react_llama31_20260706_015432.json
A0054,CoT-RAG,llama3.1:8b,Q62,2-hop_vibe_setting,2,eval_results_cot_rag_llama31_20260706_015432.json
A0055,Act-only,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_act_only_llama31_20260706_015432.json
A0056,CoT-RAG,llama3.1:8b,Q01,1-hop_author,1,eval_results_cot_rag_llama31_20260706_015432.json
A0057,Pure ReAct,qwen2.5:7b,Q16,2-hop_author_category,2,eval_results_pure_react_qwen25_20260706_050120.json
A0058,Standard RAG,qwen2.5:7b,Q22,collaborative_shared_vibe,3,eval_results_standard_20260706_112205.json
A0059,Standard RAG,llama3.1:8b,Q73,2-hop_author_setting,2,eval_results_standard_20260706_081128.json
A0060,Pure ReAct,qwen2.5:7b,Q99,branch_filter_vibe,2,eval_results_pure_react_qwen25_20260706_050120.json
A0061,Pure ReAct,llama3.1:8b,Q54,1-hop_character,1,eval_results_pure_react_llama31_20260706_015432.json
A0062,Pure ReAct,qwen2.5:7b,Q84,2-hop_collectiontype_category,2,eval_results_pure_react_qwen25_20260706_050120.json
A0063,Planned,llama3.1:8b,Q50,1-hop_ddc,1,eval_results_planned_llama31_20260707_154549_noaudit.json
A0064,Act-only,qwen2.5:7b,Q55,1-hop_character,1,eval_results_act_only_qwen25_20260706_050120.json
A0065,Vector-Gated v2,qwen2.5:7b,Q90,collaborative_shared_vibe,3,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0066,Standard RAG,llama3.1:8b,Q88,3-hop_vibe_setting_category,3,eval_results_standard_20260706_081128.json
A0067,Planned,llama3.1:8b,Q60,2-hop_vibe_setting,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0068,Standard RAG,llama3.1:8b,Q57,1-hop_publisher_city,1,eval_results_standard_20260706_081128.json
A0069,Standard RAG,llama3.1:8b,Q13,2-hop_setting_category,2,eval_results_standard_20260706_081128.json
A0070,CoT-RAG,qwen2.5:7b,Q33,1-hop_author,1,eval_results_cot_rag_qwen25_20260706_050120.json
A0071,Vector-Gated v2,qwen2.5:7b,Q28,branch_filter_vibe,2,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0072,Pure ReAct,qwen2.5:7b,Q58,1-hop_publisher_city,1,eval_results_pure_react_qwen25_20260706_050120.json
A0073,Standard RAG,llama3.1:8b,Q05,1-hop_ddc,1,eval_results_standard_20260706_081128.json
A0074,Act-only,qwen2.5:7b,Q72,2-hop_author_vibe,2,eval_results_act_only_qwen25_20260706_050120.json
A0075,Planned,llama3.1:8b,Q03,1-hop_setting,1,eval_results_planned_llama31_20260707_154549_noaudit.json
A0076,CoT-RAG,llama3.1:8b,Q13,2-hop_setting_category,2,eval_results_cot_rag_llama31_20260706_015432.json
A0077,CoT-RAG,llama3.1:8b,Q77,2-hop_author_category,2,eval_results_cot_rag_llama31_20260706_015432.json
A0078,Vector-Gated v2,qwen2.5:7b,Q97,runtime_similarity,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0079,Planned,qwen2.5:7b,Q35,1-hop_vibe,1,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0080,Planned,llama3.1:8b,Q32,1-hop_author,1,eval_results_planned_llama31_20260707_154549_noaudit.json
A0081,Act-only,llama3.1:8b,Q84,2-hop_collectiontype_category,2,eval_results_act_only_llama31_20260706_015432.json
A0082,Standard RAG,qwen2.5:7b,Q68,2-hop_setting_category,2,eval_results_standard_20260706_112205.json
A0083,Act-only,qwen2.5:7b,Q87,3-hop_vibe_setting_category,3,eval_results_act_only_qwen25_20260706_050120.json
A0084,Act-only,qwen2.5:7b,Q89,collaborative_shared_vibe,3,eval_results_act_only_qwen25_20260706_050120.json
A0085,Pure ReAct,llama3.1:8b,Q18,2-hop_collectiontype_category,2,eval_results_pure_react_llama31_20260706_015432.json
A0086,CoT-RAG,llama3.1:8b,Q78,2-hop_author_category,2,eval_results_cot_rag_llama31_20260706_015432.json
A0087,Planned,qwen2.5:7b,Q07,1-hop_character,1,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0088,Vector-Gated v2,llama3.1:8b,Q45,1-hop_category,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0089,Pure ReAct,qwen2.5:7b,Q52,1-hop_language,1,eval_results_pure_react_qwen25_20260706_050120.json
A0090,Vector-Gated v2,llama3.1:8b,Q53,1-hop_character,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0091,CoT-RAG,qwen2.5:7b,Q72,2-hop_author_vibe,2,eval_results_cot_rag_qwen25_20260706_050120.json
A0092,Act-only,llama3.1:8b,Q64,2-hop_vibe_category,2,eval_results_act_only_llama31_20260706_015432.json
A0093,Vector-Gated v2,llama3.1:8b,Q35,1-hop_vibe,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0094,Pure ReAct,llama3.1:8b,Q05,1-hop_ddc,1,eval_results_pure_react_llama31_20260706_015432.json
A0095,CoT-RAG,llama3.1:8b,Q99,branch_filter_vibe,2,eval_results_cot_rag_llama31_20260706_015432.json
A0096,Standard RAG,qwen2.5:7b,Q40,1-hop_setting,1,eval_results_standard_20260706_112205.json
A0097,Pure ReAct,qwen2.5:7b,Q30,branch_filter_vibe,2,eval_results_pure_react_qwen25_20260706_050120.json
A0098,Vector-Gated v2,qwen2.5:7b,Q03,1-hop_setting,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0099,Pure ReAct,qwen2.5:7b,Q27,runtime_similarity,1,eval_results_pure_react_qwen25_20260706_050120.json
A0100,Planned,llama3.1:8b,Q79,2-hop_ddc_branch,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0101,Vector-Gated v2,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0102,Act-only,llama3.1:8b,Q28,branch_filter_vibe,2,eval_results_act_only_llama31_20260706_015432.json
A0103,CoT-RAG,qwen2.5:7b,Q50,1-hop_ddc,1,eval_results_cot_rag_qwen25_20260706_050120.json
A0104,Act-only,llama3.1:8b,Q05,1-hop_ddc,1,eval_results_act_only_llama31_20260706_015432.json
A0105,Vector-Gated v2,qwen2.5:7b,Q42,1-hop_setting,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0106,Standard RAG,llama3.1:8b,Q35,1-hop_vibe,1,eval_results_standard_20260706_081128.json
A0107,Pure ReAct,llama3.1:8b,Q55,1-hop_character,1,eval_results_pure_react_llama31_20260706_015432.json
A0108,Vector-Gated v2,qwen2.5:7b,Q62,2-hop_vibe_setting,2,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0109,Act-only,qwen2.5:7b,Q48,1-hop_ddc,1,eval_results_act_only_qwen25_20260706_050120.json
A0110,Act-only,qwen2.5:7b,Q23,collaborative_shared_vibe,3,eval_results_act_only_qwen25_20260706_050120.json
A0111,Pure ReAct,llama3.1:8b,Q38,1-hop_vibe,1,eval_results_pure_react_llama31_20260706_015432.json
A0112,Planned,qwen2.5:7b,Q63,2-hop_vibe_category,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0113,Pure ReAct,llama3.1:8b,Q63,2-hop_vibe_category,2,eval_results_pure_react_llama31_20260706_015432.json
A0114,Pure ReAct,llama3.1:8b,Q59,2-hop_vibe_setting,2,eval_results_pure_react_llama31_20260706_015432.json
A0115,Vector-Gated v2,llama3.1:8b,Q09,2-hop_vibe_setting,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0116,CoT-RAG,llama3.1:8b,Q100,branch_filter_author,2,eval_results_cot_rag_llama31_20260706_015432.json
A0117,Standard RAG,llama3.1:8b,Q18,2-hop_collectiontype_category,2,eval_results_standard_20260706_081128.json
A0118,Act-only,qwen2.5:7b,Q35,1-hop_vibe,1,eval_results_act_only_qwen25_20260706_050120.json
A0119,Pure ReAct,llama3.1:8b,Q48,1-hop_ddc,1,eval_results_pure_react_llama31_20260706_015432.json
A0120,Vector-Gated v2,llama3.1:8b,Q97,runtime_similarity,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0121,CoT-RAG,llama3.1:8b,Q57,1-hop_publisher_city,1,eval_results_cot_rag_llama31_20260706_015432.json
A0122,Standard RAG,qwen2.5:7b,Q18,2-hop_collectiontype_category,2,eval_results_standard_20260706_112205.json
A0123,Pure ReAct,qwen2.5:7b,Q39,1-hop_setting,1,eval_results_pure_react_qwen25_20260706_050120.json
A0124,Standard RAG,llama3.1:8b,Q50,1-hop_ddc,1,eval_results_standard_20260706_081128.json
A0125,Vector-Gated v2,llama3.1:8b,Q92,collaborative_shared_ddc,3,eval_results_agentic_llama_20260707_144026_noaudit.json
A0126,Pure ReAct,qwen2.5:7b,Q74,2-hop_author_setting,2,eval_results_pure_react_qwen25_20260706_050120.json
A0127,CoT-RAG,llama3.1:8b,Q87,3-hop_vibe_setting_category,3,eval_results_cot_rag_llama31_20260706_015432.json
A0128,Vector-Gated v2,qwen2.5:7b,Q17,2-hop_ddc_branch,2,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0129,Planned,qwen2.5:7b,Q45,1-hop_category,1,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0130,Act-only,llama3.1:8b,Q96,runtime_similarity,1,eval_results_act_only_llama31_20260706_015432.json
A0131,CoT-RAG,llama3.1:8b,Q83,2-hop_collectiontype_category,2,eval_results_cot_rag_llama31_20260706_015432.json
A0132,Planned,llama3.1:8b,Q86,3-hop_vibe_setting_category,3,eval_results_planned_llama31_20260707_154549_noaudit.json
A0133,Planned,llama3.1:8b,Q85,3-hop_vibe_setting_category,3,eval_results_planned_llama31_20260707_154549_noaudit.json
A0134,Vector-Gated v2,llama3.1:8b,Q62,2-hop_vibe_setting,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0135,Standard RAG,qwen2.5:7b,Q61,2-hop_vibe_setting,2,eval_results_standard_20260706_112205.json
A0136,Pure ReAct,qwen2.5:7b,Q18,2-hop_collectiontype_category,2,eval_results_pure_react_qwen25_20260706_050120.json
A0137,CoT-RAG,qwen2.5:7b,Q84,2-hop_collectiontype_category,2,eval_results_cot_rag_qwen25_20260706_050120.json
A0138,Act-only,llama3.1:8b,Q02,1-hop_vibe,1,eval_results_act_only_llama31_20260706_015432.json
A0139,CoT-RAG,qwen2.5:7b,Q15,2-hop_author_setting,2,eval_results_cot_rag_qwen25_20260706_050120.json
A0140,Standard RAG,llama3.1:8b,Q58,1-hop_publisher_city,1,eval_results_standard_20260706_081128.json
A0141,Vector-Gated v2,llama3.1:8b,Q02,1-hop_vibe,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0142,CoT-RAG,llama3.1:8b,Q47,1-hop_ddc,1,eval_results_cot_rag_llama31_20260706_015432.json
A0143,Planned,qwen2.5:7b,Q54,1-hop_character,1,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0144,Vector-Gated v2,llama3.1:8b,Q06,1-hop_language,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0145,Vector-Gated v2,qwen2.5:7b,Q27,runtime_similarity,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0146,Planned,llama3.1:8b,Q81,2-hop_ddc_branch,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0147,Pure ReAct,qwen2.5:7b,Q77,2-hop_author_category,2,eval_results_pure_react_qwen25_20260706_050120.json
A0148,CoT-RAG,qwen2.5:7b,Q49,1-hop_ddc,1,eval_results_cot_rag_qwen25_20260706_050120.json
A0149,CoT-RAG,qwen2.5:7b,Q80,2-hop_ddc_branch,2,eval_results_cot_rag_qwen25_20260706_050120.json
A0150,Vector-Gated v2,llama3.1:8b,Q16,2-hop_author_category,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0151,CoT-RAG,qwen2.5:7b,Q70,2-hop_author_vibe,2,eval_results_cot_rag_qwen25_20260706_050120.json
A0152,Pure ReAct,qwen2.5:7b,Q95,runtime_similarity,1,eval_results_pure_react_qwen25_20260706_050120.json
A0153,Pure ReAct,llama3.1:8b,Q06,1-hop_language,1,eval_results_pure_react_llama31_20260706_015432.json
A0154,Act-only,qwen2.5:7b,Q25,runtime_similarity,1,eval_results_act_only_qwen25_20260706_050120.json
A0155,Planned,llama3.1:8b,Q64,2-hop_vibe_category,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0156,Act-only,qwen2.5:7b,Q61,2-hop_vibe_setting,2,eval_results_act_only_qwen25_20260706_050120.json
A0157,CoT-RAG,qwen2.5:7b,Q21,3-hop_vibe_setting_category,3,eval_results_cot_rag_qwen25_20260706_050120.json
A0158,Standard RAG,qwen2.5:7b,Q65,2-hop_vibe_category,2,eval_results_standard_20260706_112205.json
A0159,Pure ReAct,llama3.1:8b,Q98,branch_filter_vibe,2,eval_results_pure_react_llama31_20260706_015432.json
A0160,Act-only,llama3.1:8b,Q88,3-hop_vibe_setting_category,3,eval_results_act_only_llama31_20260706_015432.json
A0161,Pure ReAct,llama3.1:8b,Q56,1-hop_publisher_city,1,eval_results_pure_react_llama31_20260706_015432.json
A0162,Standard RAG,llama3.1:8b,Q93,collaborative_shared_ddc,3,eval_results_standard_20260706_081128.json
A0163,Act-only,llama3.1:8b,Q80,2-hop_ddc_branch,2,eval_results_act_only_llama31_20260706_015432.json
A0164,Standard RAG,llama3.1:8b,Q49,1-hop_ddc,1,eval_results_standard_20260706_081128.json
A0165,Pure ReAct,llama3.1:8b,Q03,1-hop_setting,1,eval_results_pure_react_llama31_20260706_015432.json
A0166,Pure ReAct,llama3.1:8b,Q52,1-hop_language,1,eval_results_pure_react_llama31_20260706_015432.json
A0167,Vector-Gated v2,qwen2.5:7b,Q45,1-hop_category,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0168,CoT-RAG,qwen2.5:7b,Q91,collaborative_shared_vibe,3,eval_results_cot_rag_qwen25_20260706_050120.json
A0169,Pure ReAct,llama3.1:8b,Q69,2-hop_setting_category,2,eval_results_pure_react_llama31_20260706_015432.json
A0170,Act-only,qwen2.5:7b,Q03,1-hop_setting,1,eval_results_act_only_qwen25_20260706_050120.json
A0171,CoT-RAG,qwen2.5:7b,Q81,2-hop_ddc_branch,2,eval_results_cot_rag_qwen25_20260706_050120.json
A0172,Planned,llama3.1:8b,Q17,2-hop_ddc_branch,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0173,Vector-Gated v2,llama3.1:8b,Q90,collaborative_shared_vibe,3,eval_results_agentic_llama_20260707_144026_noaudit.json
A0174,Pure ReAct,qwen2.5:7b,Q67,2-hop_setting_category,2,eval_results_pure_react_qwen25_20260706_050120.json
A0175,Vector-Gated v2,qwen2.5:7b,Q85,3-hop_vibe_setting_category,3,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0176,Standard RAG,llama3.1:8b,Q23,collaborative_shared_vibe,3,eval_results_standard_20260706_081128.json
A0177,Act-only,qwen2.5:7b,Q32,1-hop_author,1,eval_results_act_only_qwen25_20260706_050120.json
A0178,Pure ReAct,qwen2.5:7b,Q93,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_20260706_050120.json
A0179,Act-only,qwen2.5:7b,Q88,3-hop_vibe_setting_category,3,eval_results_act_only_qwen25_20260706_050120.json
A0180,Planned,qwen2.5:7b,Q80,2-hop_ddc_branch,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0181,Act-only,qwen2.5:7b,Q04,1-hop_category,1,eval_results_act_only_qwen25_20260706_050120.json
A0182,Pure ReAct,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_pure_react_qwen25_20260706_050120.json
A0183,CoT-RAG,llama3.1:8b,Q32,1-hop_author,1,eval_results_cot_rag_llama31_20260706_015432.json
A0184,Planned,qwen2.5:7b,Q96,runtime_similarity,1,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0185,Pure ReAct,qwen2.5:7b,Q71,2-hop_author_vibe,2,eval_results_pure_react_qwen25_20260706_050120.json
A0186,Standard RAG,llama3.1:8b,Q85,3-hop_vibe_setting_category,3,eval_results_standard_20260706_081128.json
A0187,Pure ReAct,qwen2.5:7b,Q94,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_20260706_050120.json
A0188,Vector-Gated v2,qwen2.5:7b,Q60,2-hop_vibe_setting,2,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0189,Standard RAG,qwen2.5:7b,Q72,2-hop_author_vibe,2,eval_results_standard_20260706_112205.json
A0190,Vector-Gated v2,llama3.1:8b,Q46,1-hop_category,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0191,Act-only,qwen2.5:7b,Q58,1-hop_publisher_city,1,eval_results_act_only_qwen25_20260706_050120.json
A0192,Standard RAG,qwen2.5:7b,Q05,1-hop_ddc,1,eval_results_standard_20260706_112205.json
A0193,Standard RAG,llama3.1:8b,Q90,collaborative_shared_vibe,3,eval_results_standard_20260706_081128.json
A0194,Act-only,qwen2.5:7b,Q16,2-hop_author_category,2,eval_results_act_only_qwen25_20260706_050120.json
A0195,CoT-RAG,llama3.1:8b,Q21,3-hop_vibe_setting_category,3,eval_results_cot_rag_llama31_20260706_015432.json
A0196,Vector-Gated v2,llama3.1:8b,Q61,2-hop_vibe_setting,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0197,Pure ReAct,llama3.1:8b,Q04,1-hop_category,1,eval_results_pure_react_llama31_20260706_015432.json
A0198,Planned,qwen2.5:7b,Q09,2-hop_vibe_setting,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0199,CoT-RAG,llama3.1:8b,Q70,2-hop_author_vibe,2,eval_results_cot_rag_llama31_20260706_015432.json
A0200,Standard RAG,llama3.1:8b,Q47,1-hop_ddc,1,eval_results_standard_20260706_081128.json
A0201,Pure ReAct,llama3.1:8b,Q95,runtime_similarity,1,eval_results_pure_react_llama31_20260706_015432.json
A0202,Planned,llama3.1:8b,Q89,collaborative_shared_vibe,3,eval_results_planned_llama31_20260707_154549_noaudit.json
A0203,Act-only,qwen2.5:7b,Q45,1-hop_category,1,eval_results_act_only_qwen25_20260706_050120.json
A0204,Vector-Gated v2,qwen2.5:7b,Q48,1-hop_ddc,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0205,Planned,llama3.1:8b,Q29,branch_filter_author,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0206,Pure ReAct,qwen2.5:7b,Q68,2-hop_setting_category,2,eval_results_pure_react_qwen25_20260706_050120.json
A0207,Standard RAG,qwen2.5:7b,Q94,collaborative_shared_ddc,3,eval_results_standard_20260706_112205.json
A0208,Planned,qwen2.5:7b,Q71,2-hop_author_vibe,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0209,Vector-Gated v2,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0210,Vector-Gated v2,llama3.1:8b,Q84,2-hop_collectiontype_category,2,eval_results_agentic_llama_20260707_144026_noaudit.json
A0211,Standard RAG,llama3.1:8b,Q69,2-hop_setting_category,2,eval_results_standard_20260706_081128.json
A0212,CoT-RAG,llama3.1:8b,Q11,2-hop_vibe_category,2,eval_results_cot_rag_llama31_20260706_015432.json
A0213,Pure ReAct,llama3.1:8b,Q58,1-hop_publisher_city,1,eval_results_pure_react_llama31_20260706_015432.json
A0214,Standard RAG,qwen2.5:7b,Q96,runtime_similarity,1,eval_results_standard_20260706_112205.json
A0215,Vector-Gated v2,qwen2.5:7b,Q31,1-hop_author,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0216,Planned,qwen2.5:7b,Q29,branch_filter_author,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0217,Act-only,qwen2.5:7b,Q37,1-hop_vibe,1,eval_results_act_only_qwen25_20260706_050120.json
A0218,CoT-RAG,llama3.1:8b,Q15,2-hop_author_setting,2,eval_results_cot_rag_llama31_20260706_015432.json
A0219,Act-only,llama3.1:8b,Q07,1-hop_character,1,eval_results_act_only_llama31_20260706_015432.json
A0220,Planned,qwen2.5:7b,Q15,2-hop_author_setting,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0221,Planned,qwen2.5:7b,Q75,2-hop_author_setting,2,eval_results_planned_qwen25_20260707_160812_noaudit.json
A0222,CoT-RAG,qwen2.5:7b,Q20,3-hop_vibe_setting_category,3,eval_results_cot_rag_qwen25_20260706_050120.json
A0223,CoT-RAG,qwen2.5:7b,Q23,collaborative_shared_vibe,3,eval_results_cot_rag_qwen25_20260706_050120.json
A0224,Planned,llama3.1:8b,Q65,2-hop_vibe_category,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0225,Act-only,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_act_only_qwen25_20260706_050120.json
A0226,Planned,llama3.1:8b,Q75,2-hop_author_setting,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0227,Vector-Gated v2,llama3.1:8b,Q58,1-hop_publisher_city,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0228,Standard RAG,llama3.1:8b,Q11,2-hop_vibe_category,2,eval_results_standard_20260706_081128.json
A0229,Standard RAG,qwen2.5:7b,Q54,1-hop_character,1,eval_results_standard_20260706_112205.json
A0230,Vector-Gated v2,qwen2.5:7b,Q10,2-hop_vibe_setting,2,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0231,CoT-RAG,llama3.1:8b,Q42,1-hop_setting,1,eval_results_cot_rag_llama31_20260706_015432.json
A0232,Standard RAG,qwen2.5:7b,Q27,runtime_similarity,1,eval_results_standard_20260706_112205.json
